Categoría,ID,Variable,Full_Format
A.1. PRESUPUESTO INICIAL Y VIGENTE MUNICIPAL (M$),4211,BPIGM - Presupuesto Inicial Gastos Municipales,4211 - BPIGM - Presupuesto Inicial Gastos Municipales
A.1. PRESUPUESTO INICIAL Y VIGENTE MUNICIPAL (M$),4441,BPISICMUN - Presupuesto Inicial Saldo Inicial de Caja sector Municipal,4441 - BPISICMUN - Presupuesto Inicial Saldo Inicial de Caja sector Municipal
A.1. PRESUPUESTO INICIAL Y VIGENTE MUNICIPAL (M$),4210,BPIIM - Presupuesto Inicial Sector Municipal,4210 - BPIIM - Presupuesto Inicial Sector Municipal
A.1. PRESUPUESTO INICIAL Y VIGENTE MUNICIPAL (M$),4213,BPVGM - Presupuesto Vigente Gastos Municpiales,4213 - BPVGM - Presupuesto Vigente Gastos Municpiales
A.1. PRESUPUESTO INICIAL Y VIGENTE MUNICIPAL (M$),4226,BPVMSALINI - Presupuesto Vigente Saldo Inicial de Caja Sector Municipal,4226 - BPVMSALINI - Presupuesto Vigente Saldo Inicial de Caja Sector Municipal
A.1. PRESUPUESTO INICIAL Y VIGENTE MUNICIPAL (M$),4212,BPVIM - Presupuesto Vigente Sector Municipal,4212 - BPVIM - Presupuesto Vigente Sector Municipal
A. INGRESOS MUNICIPALES (M$),3752,IADM83 - Casinos de Juegos Ley Nº19.995.,3752 - IADM83 - Casinos de Juegos Ley Nº19.995.
A. INGRESOS MUNICIPALES (M$),3954,IADM97 - Derechos de Aseo,3954 - IADM97 - Derechos de Aseo
A. INGRESOS MUNICIPALES (M$),3955,IADM98 - Derechos de Aseo Cobro Directo y de Patentes Comerciales,3955 - IADM98 - Derechos de Aseo Cobro Directo y de Patentes Comerciales
A. INGRESOS MUNICIPALES (M$),3956,IADM99 - Derechos de Aseo por Impuesto Territorial,3956 - IADM99 - Derechos de Aseo por Impuesto Territorial
A. INGRESOS MUNICIPALES (M$),1092,IADM10 - Disponibilidad Presupuestaria Municipal por Habitante (M$),1092 - IADM10 - Disponibilidad Presupuestaria Municipal por Habitante (M$)
A. INGRESOS MUNICIPALES (M$),4251,IADM140 - Impuesto Territorial de Beneficio Municipal (Art. 37 DL 3063),4251 - IADM140 - Impuesto Territorial de Beneficio Municipal (Art. 37 DL 3063)
A. INGRESOS MUNICIPALES (M$),1110,IADM01 - Ingresos Municipales (Ingreso Total Percibido),1110 - IADM01 - Ingresos Municipales (Ingreso Total Percibido)
A. INGRESOS MUNICIPALES (M$),4245,IADM999 - Ingresos Municipales (Ingreso Total Percibido) sin Saldo Inicial de Caja,4245 - IADM999 - Ingresos Municipales (Ingreso Total Percibido) sin Saldo Inicial de Caja
A. INGRESOS MUNICIPALES (M$),880,IADM40 - Ingresos por Fondo Común Municipal,880 - IADM40 - Ingresos por Fondo Común Municipal
A. INGRESOS MUNICIPALES (M$),1226,IADM44 - Ingresos por Impuestos,1226 - IADM44 - Ingresos por Impuestos
A. INGRESOS MUNICIPALES (M$),4173,IADM121 - Ingresos por Patentes Municipales de Beneficio Municipal,4173 - IADM121 - Ingresos por Patentes Municipales de Beneficio Municipal
A. INGRESOS MUNICIPALES (M$),4174,IADM122 - Ingresos por Permisos de Circulación de Beneficio Municipal,4174 - IADM122 - Ingresos por Permisos de Circulación de Beneficio Municipal
A. INGRESOS MUNICIPALES (M$),883,IADM43 - Ingresos por Transferencias,883 - IADM43 - Ingresos por Transferencias
A. INGRESOS MUNICIPALES (M$),4325,"IADM43.1 - Ingresos por Transferencias menos Casino Ley N° 19.995, Patentes Acuícolas y Patentes Mineras","4325 - IADM43.1 - Ingresos por Transferencias menos Casino Ley N° 19.995, Patentes Acuícolas y Patentes Mineras"
A. INGRESOS MUNICIPALES (M$),882,IADM42 - Ingresos Propios (IPP y FCM),882 - IADM42 - Ingresos Propios (IPP y FCM)
A. INGRESOS MUNICIPALES (M$),879,IADM41 - Ingresos Propios Permanentes (IPP),879 - IADM41 - Ingresos Propios Permanentes (IPP)
A. INGRESOS MUNICIPALES (M$),1262,IADM74 - Ingresos Propios Permanentes per Cápita (IPPP),1262 - IADM74 - Ingresos Propios Permanentes per Cápita (IPPP)
A. INGRESOS MUNICIPALES (M$),890,"IADM49 - Ingresos Propios, según criterio de Contraloría General de la República","890 - IADM49 - Ingresos Propios, según criterio de Contraloría General de la República"
A. INGRESOS MUNICIPALES (M$),887,"IADM46 - Ingresos Totales, descontados los Ingresos por Transferencias","887 - IADM46 - Ingresos Totales, descontados los Ingresos por Transferencias"
A. INGRESOS MUNICIPALES (M$),1311,IADM96 - Monto Patentes Municipales Pagadas,1311 - IADM96 - Monto Patentes Municipales Pagadas
A. INGRESOS MUNICIPALES (M$),3753,IADM84 - Patentes Acuícolas Ley Nº20.033 Art. 8.,3753 - IADM84 - Patentes Acuícolas Ley Nº20.033 Art. 8.
A. INGRESOS MUNICIPALES (M$),3754,IADM82 - Patentes Mineras Ley Nº19.143.,3754 - IADM82 - Patentes Mineras Ley Nº19.143.
B. INGRESOS MUNICIPALES (%),1272,IADM75 - Dependencia del Fondo Común Municipal sobre los Ingresos Propios,1272 - IADM75 - Dependencia del Fondo Común Municipal sobre los Ingresos Propios
B. INGRESOS MUNICIPALES (%),1088,IADM04 - Participación de Ingresos por Transferencias en el Ingreso Total,1088 - IADM04 - Participación de Ingresos por Transferencias en el Ingreso Total
B. INGRESOS MUNICIPALES (%),1086,IADM02 - Participación de Ingresos Propios Permanentes (IPP) en el Ingreso Total,1086 - IADM02 - Participación de Ingresos Propios Permanentes (IPP) en el Ingreso Total
